2026-01-18 11:45:54,877 | INFO | <module>:106 | Logging initialized. Log file: /Users/evan/Downloads/newPROJECTv3/logs/app_20260118_114554.log
2026-01-18 11:45:54,885 | INFO | <module>:146 | Device configured: mps, dtype: torch.float32
2026-01-18 11:45:54,885 | DEBUG | __init__:64 | Using selector: KqueueSelector
2026-01-18 11:45:54,886 | DEBUG | __init__:64 | Using selector: KqueueSelector
2026-01-18 11:45:54,886 | DEBUG | __init__:64 | Using selector: KqueueSelector
2026-01-18 11:45:54,886 | DEBUG | __init__:64 | Using selector: KqueueSelector
2026-01-18 11:45:54,887 | DEBUG | _new_conn:1049 | Starting new HTTPS connection (1): huggingface.co:443
2026-01-18 11:45:54,901 | DEBUG | trace:47 | connect_tcp.started host='api.gradio.app' port=443 local_address=None timeout=3 socket_options=None
2026-01-18 11:45:54,932 | DEBUG | __init__:64 | Using selector: KqueueSelector
2026-01-18 11:45:54,932 | DEBUG | __init__:64 | Using selector: KqueueSelector
2026-01-18 11:45:54,958 | DEBUG | __init__:64 | Using selector: KqueueSelector
2026-01-18 11:45:54,958 | DEBUG | __init__:64 | Using selector: KqueueSelector
2026-01-18 11:45:54,987 | DEBUG | __init__:64 | Using selector: KqueueSelector
2026-01-18 11:45:55,025 | DEBUG | trace:47 | connect_tcp.started host='127.0.0.1' port=7860 local_address=None timeout=None socket_options=None
2026-01-18 11:45:55,025 | DEBUG | trace:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x10beb1940>
2026-01-18 11:45:55,025 | DEBUG | trace:47 | send_request_headers.started request=<Request [b'GET']>
2026-01-18 11:45:55,025 | DEBUG | trace:47 | send_request_headers.complete
2026-01-18 11:45:55,025 | DEBUG | trace:47 | send_request_body.started request=<Request [b'GET']>
2026-01-18 11:45:55,026 | DEBUG | trace:47 | send_request_body.complete
2026-01-18 11:45:55,026 | DEBUG | trace:47 | receive_response_headers.started request=<Request [b'GET']>
2026-01-18 11:45:55,026 | DEBUG | trace:47 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Sun, 18 Jan 2026 17:45:54 GMT'), (b'server', b'uvicorn'), (b'content-length', b'4'), (b'content-type', b'application/json')])
2026-01-18 11:45:55,026 | INFO | _send_single_request:1025 | HTTP Request: GET http://127.0.0.1:7860/gradio_api/startup-events "HTTP/1.1 200 OK"
2026-01-18 11:45:55,027 | DEBUG | trace:47 | receive_response_body.started request=<Request [b'GET']>
2026-01-18 11:45:55,027 | DEBUG | trace:47 | receive_response_body.complete
2026-01-18 11:45:55,027 | DEBUG | trace:47 | response_closed.started
2026-01-18 11:45:55,027 | DEBUG | trace:47 | response_closed.complete
2026-01-18 11:45:55,027 | DEBUG | trace:47 | close.started
2026-01-18 11:45:55,027 | DEBUG | trace:47 | close.complete
2026-01-18 11:45:55,027 | DEBUG | trace:47 | connect_tcp.started host='127.0.0.1' port=7860 local_address=None timeout=3 socket_options=None
2026-01-18 11:45:55,027 | DEBUG | trace:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x10bebed50>
2026-01-18 11:45:55,027 | DEBUG | trace:47 | send_request_headers.started request=<Request [b'HEAD']>
